PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Quincy Acy,Tor,SF,23,7,8.5,16.8,14.7,0.102,8,0.625,9,0.444,5,0.4,0.542,2.7,2.1,14.6,0.6,10.5,0.57,0.43,7.1
Quincy Acy,Sac,F,23,3,17.6,34.2,6.3,0,1,1,6,0.833,1,0,0.739,3.7,3.3,10.9,0.3,2.9,0.33,1,3.5
Steven Adams,Okc,C,20,24,15.7,32.3,12.3,0.207,46,0.652,64,0.5,0,0,0.558,3.9,4.7,16,0.8,7.4,0.42,0.92,6.2
Jeff Adrien,Cha,PF,27,17,12.4,25.7,9.8,0.066,20,0.6,34,0.529,0,0,0.561,2.8,4.3,19.2,0.2,3.1,0.29,0.71,4.3
Arron Afflalo,Orl,SG,28,25,37.4,77,24.7,0.102,126,0.873,272,0.493,130,0.415,0.59,21.6,4.7,7,4,19.2,0.68,0.04,7.9
LaMarcus Aldridge,Por,PF,28,27,36.8,76.1,28.6,0.078,138,0.79,540,0.481,3,0,0.521,23.3,11.1,16.5,2.8,13.4,1.15,0.89,9.8
Lavoy Allen,Phi,PF,24,26,19.4,39.5,13.2,0.153,23,0.609,120,0.467,3,0.333,0.485,5,5.6,15.6,0.8,6.4,0.5,0.5,5.8
Ray Allen,Mia,SG,38,22,25,52,18.2,0.147,38,0.921,79,0.532,84,0.381,0.598,9.8,2.7,6.9,2.3,13.7,0.95,0.14,6.3
Tony Allen,Mem,SG,32,20,25.8,53.2,20.5,0.162,47,0.702,148,0.554,23,0.217,0.553,10.6,4.2,9.5,2.2,14.3,2.15,0.5,7.1
Al-Farouq Aminu,Nor,SF,23,23,24.3,49.7,14.4,0.126,41,0.537,133,0.496,8,0.125,0.494,6.8,6.8,15.7,1.5,9.3,1.22,0.61,6.8
Louis Amundson,Nor,PF,31,16,10.7,21.7,14.3,0.252,24,0.25,31,0.484,0,0,0.433,2.3,3.4,17.7,0.4,5,0.56,0.63,5.5
Chris Andersen,Mia,C,35,24,17.7,37,15.2,0.139,52,0.673,92,0.63,3,0.333,0.653,6.4,4.3,15.3,0.4,3.6,0.38,1.25,5
Alan Anderson,Bro,SF,31,25,25.2,52,14.9,0.084,30,0.767,85,0.471,88,0.364,0.534,8,2.7,6.2,1.2,7.5,0.88,0.12,4.7
James Anderson,Phi,SG,24,26,29.7,60.4,16,0.127,43,0.698,122,0.557,113,0.319,0.54,10.5,3.3,6.1,1.8,9.2,0.81,0.38,5.3
Ryan Anderson,Nor,PF,25,15,36,72.9,23.8,0.048,50,0.98,138,0.442,117,0.427,0.579,21.4,6,9.4,0.7,3.5,0.47,0.4,5
Giannis Antetokounmpo,Mil,SF,19,20,19.2,38.9,15.5,0.163,48,0.667,66,0.561,21,0.286,0.573,6.2,4.1,12,1.1,9.5,0.6,0.7,6.3
Carmelo Anthony,Nyk,PF,29,25,39.7,81.6,31.5,0.09,187,0.85,428,0.463,99,0.354,0.542,26.4,9,13.6,2.9,14.4,1.04,0.72,8.9
Pero Antic,Atl,PF,31,15,11,22.8,17.2,0.112,13,0.769,23,0.435,27,0.296,0.485,3.6,2.2,11.5,0.9,11.5,0.2,0.27,7
Trevor Ariza,Was,SF,28,19,35.8,72.2,18.8,0.138,51,0.706,107,0.523,115,0.409,0.591,15.2,5.8,9.3,2.6,11.9,1.89,0.37,6.8
Hilton Armstrong,Gol,F-C,29,3,5.3,10.3,5.3,0,2,0,1,1,0,0,0.532,0.7,3.7,38.2,0,0,0,0.33,0
Darrell Arthur,Den,SF,25,24,17.6,36.7,15.7,0.098,14,0.857,129,0.465,3,0,0.478,5.5,2.9,8.6,0.9,7.6,0.42,0.63,5.5
Omer Asik,Hou,C,27,17,18.1,37,12.9,0.222,39,0.641,53,0.472,0,0,0.534,4.4,6.8,20.8,0.4,3.3,0.24,0.41,5.1
D.J. Augustin,Tor,PG,26,10,8,16,20,0.253,6,1,13,0.462,11,0.091,0.394,2.1,0.4,2.9,1,19.2,0.1,0,4.7
D.J. Augustin,Chi,G,26,4,24.6,46.5,16.8,0.082,6,1,13,0.231,18,0.278,0.401,6.8,1.3,2.8,6,39.2,1,0,6.1
Gustavo Ayon,Atl,C,28,9,15.9,32.8,11.9,0.132,4,0.75,31,0.581,0,0,0.595,4.3,4.2,15.2,0.8,7.3,0.67,0.44,6.1
Jeff Ayres,San,PF,26,24,12.4,25.8,12.5,0.269,11,0.545,55,0.436,0,0,0.451,2.3,3.2,14.4,0.7,6.9,0.29,0.25,5.6
Jose Barea,Min,PG,29,26,18.4,38.2,22.2,0.118,25,0.68,139,0.424,74,0.311,0.455,7.8,2,5.7,3.8,33.2,0.38,0,8.5
Andrea Bargnani,Nyk,C,28,25,31.3,64.3,23.4,0.081,63,0.81,252,0.488,81,0.296,0.511,14.8,5.4,10.3,1.4,7.9,0.44,1.32,6.2
Harrison Barnes,Gol,SF,21,22,33.6,69.3,18.2,0.108,59,0.695,192,0.484,54,0.407,0.539,13.3,4.2,6.9,1.9,8.7,1.09,0.18,5.6
Matt Barnes,Lac,SF,33,8,19.8,40.7,16,0.176,20,0.85,22,0.409,16,0.25,0.502,5.9,4.3,12,1.6,11.8,1,0.13,6.9
Will Barton,Por,SG,23,8,5,10.1,21.8,0.201,2,1,11,0.455,4,0,0.378,1.5,0.9,9.6,1,28.9,0.25,0,8.8
Brandon Bass,Bos,PF,28,27,29.3,61,18.2,0.098,85,0.847,246,0.463,2,0.5,0.531,11.2,6.4,12.6,1.3,7.2,0.59,1.19,6.2
Shane Battier,Mia,SF,35,24,20,41.7,9.5,0.01,9,0.778,23,0.609,69,0.304,0.511,4.1,1.7,5.3,0.5,3.4,0.5,0.71,3
Nicolas Batum,Por,SF,25,27,35.5,73.4,17.5,0.187,66,0.803,134,0.545,151,0.404,0.608,14.1,6.3,9.7,5.2,21.4,1.07,0.63,8.7
Jerryd Bayless,Mem,PG,25,23,20.9,43.2,20.4,0.075,42,0.81,121,0.397,57,0.228,0.43,7.3,2.1,5.9,2,15.6,0.78,0.17,6
Aron Baynes,San,C,27,13,9.4,19.5,20.2,0.148,5,0.8,44,0.409,0,0,0.433,3.1,2.9,17.6,0.7,10.4,0,0,7.9
Kent Bazemore,Gol,SG,24,21,6.1,12.5,23.5,0.236,22,0.545,26,0.423,16,0.313,0.474,2.3,1,9.5,0.4,9.4,0.29,0.14,6.4
Bradley Beal,Was,SG,20,15,38.6,77.2,25.7,0.115,41,0.829,183,0.393,91,0.462,0.52,20.3,4.3,6.5,3.1,14.2,0.93,0.2,6.7
Michael Beasley,Mia,SF,25,14,17.4,36.2,28.5,0.109,26,0.769,101,0.554,18,0.5,0.609,11.4,4,14.6,0.6,7,0.43,0.5,6.9
Marco Belinelli,San,SF,27,25,21.8,45.5,18.1,0.124,18,0.778,112,0.491,71,0.535,0.623,9.5,2.8,7.1,2,13,0.72,0.08,6.9
Anthony Bennett,Cle,SF,20,20,9.7,20,18.4,0.149,8,0.375,42,0.333,23,0.174,0.314,2.2,2,11.2,0.2,3.1,0.4,0.1,4
Patrick Beverley,Hou,SG,25,23,32.1,66,14.2,0.117,35,0.743,93,0.495,103,0.34,0.527,9.7,4,6.8,2.3,10.8,1.35,0.43,5.6
Andris Biedrins,Uta,C,27,6,7.3,14.7,5.8,0.355,6,0.167,1,1,0,0,0.412,0.5,2.8,22.1,0,0,0,0,0
Chauncey Billups,Det,SG,37,11,20,40.5,14.7,0.188,12,0.833,22,0.364,33,0.303,0.464,5.1,2.1,5.9,2.9,20.5,0.64,0.09,6.3
Bismack Biyombo,Cha,C,21,22,18.8,39,8.9,0.198,38,0.474,48,0.667,0,0,0.633,3.7,6.5,19.4,0.1,0.8,0.09,0.91,2.9
DeJuan Blair,Dal,PF,24,25,21.1,44,19.7,0.158,46,0.543,175,0.537,2,0,0.54,8.5,7.4,19.8,1.4,10.2,1.28,0.32,8.4
Steve Blake,Lal,PG,33,21,31.6,65.9,16.2,0.213,26,0.808,81,0.395,100,0.4,0.533,9.8,3.3,5.5,7.7,36.2,0.86,0.05,8
Andray Blatche,Bro,PF,27,25,22.6,46.7,26.6,0.142,86,0.721,223,0.493,18,0.333,0.538,12,6,15.5,1.3,11.2,1,0.48,8
Eric Bledsoe,Pho,PG,24,18,34.3,71.1,26,0.178,106,0.792,182,0.538,66,0.333,0.587,19.2,4.3,7.2,6.4,31.7,1.67,0.28,9.4
Keith Bogans,Bos,SG,33,4,6.8,14.2,5,0.333,0,0,0,0,2,0,0,0,0.3,2.1,0,0,0.25,0,0
Andrew Bogut,Gol,C,29,25,27.5,56.8,13.2,0.218,39,0.385,144,0.611,0,0,0.593,7.6,9.9,19.7,1.7,9.4,0.72,1.72,7.3
Matt Bonner,San,PF,33,18,11.9,24.9,12,0.123,0,0,15,0.533,35,0.457,0.64,3.6,1.3,6.3,0.8,9.4,0.11,0.11,5.2
Trevor Booker,Was,PF,26,16,20.2,40.4,15.9,0.114,15,0.533,93,0.527,1,0,0.527,6.6,6,17.2,1.2,9.7,0.63,0.5,7.2
Carlos Boozer,Chi,PF,32,24,30.6,62.7,26.3,0.143,68,0.824,336,0.449,0,0,0.489,14.9,9.1,16.6,1.7,10.9,0.71,0.54,8
Chris Bosh,Mia,C,29,24,28.6,59.6,22.5,0.098,96,0.781,207,0.556,45,0.333,0.595,14.6,6.2,13.7,0.9,5.3,0.88,1.13,6.1
Avery Bradley,Bos,PG,23,27,30.3,63.2,22.6,0.118,34,0.735,271,0.465,74,0.392,0.506,13.5,4,7.5,1.3,7.7,1.07,0.22,5.4
Elton Brand,Atl,PF,34,18,11,22.7,13.5,0.153,18,0.667,42,0.476,0,0,0.521,2.9,3.3,17.2,0.6,7.3,0.33,0.67,6.5
Corey Brewer,Min,SF,27,26,33.5,69.5,17,0.118,70,0.743,178,0.528,104,0.279,0.523,12.6,2.8,4.5,1.4,6.6,1.65,0.35,4.4
Aaron Brooks,Hou,PG,29,21,15.7,32.3,21.9,0.177,21,0.857,73,0.411,53,0.453,0.555,7.1,1.5,5.4,2,20.4,0.9,0.1,7.1
MarShon Brooks,Bos,SG,25,8,6.1,12.7,26.4,0.211,10,0.8,16,0.375,2,0.5,0.513,2.9,1.1,10.6,0.4,9.9,0.13,0,7.1
Lorenzo Brown,Phi,SG,23,13,10.7,21.3,20.3,0.165,4,1,38,0.447,16,0.063,0.368,3.2,0.8,3.9,1.8,25.7,0.77,0.23,6.2
Kobe Bryant,Lal,SG,35,6,29.4,61.2,29.1,0.292,21,0.857,57,0.491,16,0.188,0.505,13.8,4.3,7.9,6.3,35.6,1.17,0.17,9.8
Reggie Bullock,Lac,SF,22,17,10.2,21,13.7,0.113,5,0.8,17,0.529,28,0.286,0.487,2.7,1.4,7.5,0.2,3.4,0.06,0.06,3.6
Trey Burke,Uta,PG,21,16,29.6,60.8,23.2,0.091,31,0.903,140,0.414,67,0.358,0.489,13.5,3.6,6.9,5.1,30.9,0.69,0.06,8.5
Alec Burks,Uta,SG,22,28,27.1,56.1,23.9,0.127,107,0.748,252,0.448,52,0.346,0.513,12.9,2.9,6.2,2.6,16.9,0.82,0.25,6.8
Caron Butler,Mil,SF,33,12,29.3,58.5,23.5,0.134,29,0.828,78,0.397,65,0.369,0.507,13.2,5.6,10.9,1.5,9.6,1,0.08,6.6
Jimmy Butler,Chi,SG,24,13,30.3,61.3,17.7,0.111,54,0.815,75,0.44,38,0.368,0.556,11.7,4.1,7.5,1.4,7.8,1.77,0.69,5.4
Rasual Butler,Ind,SG,34,10,6.3,12.9,14.7,0.1,0,0,5,0.6,13,0.615,0.833,3,0.6,5.5,0.2,5.6,0,0.2,4.5
Dwight Buycks,Tor,PG,24,12,9.9,19.9,19.2,0.118,9,0.889,26,0.346,15,0.333,0.456,3.4,1.7,9.8,0.8,13.6,0.5,0,6.7
Andrew Bynum,Cle,C,26,20,19.3,39.5,23.4,0.128,38,0.763,160,0.444,0,0,0.484,8.6,5.2,15.1,1.2,10.6,0.25,1.1,7.8
Will Bynum,Det,PG,31,12,16.9,34.3,23.9,0.179,33,0.697,68,0.441,9,0.333,0.503,7.7,1.7,5.6,2.7,25.1,1,0.17,7.8
Nick Calathes,Mem,SG,24,19,13.3,27.4,16.4,0.301,24,0.5,46,0.413,6,0.167,0.424,2.8,1.2,5.4,2.6,29.4,0.37,0.11,6.2
Jose Calderon,Dal,SG,32,24,30.5,63.5,15.7,0.123,19,0.895,85,0.471,134,0.47,0.629,11.9,1.9,3.5,4.5,21.8,0.83,0.04,6.1
Kentavious Caldwell-Pope,Det,SG,20,25,23.6,48.6,15.4,0.038,23,0.783,115,0.409,76,0.316,0.457,7.4,2.4,5.8,0.9,5.8,0.96,0.08,4.3
DeMarre Carroll,Atl,SF,27,26,30.5,63.3,14.5,0.11,53,0.811,117,0.521,86,0.326,0.55,9.6,5.8,10.9,1.6,7.8,1.23,0.23,5.9
Vince Carter,Dal,SG,37,24,24.5,50.9,22.1,0.113,50,0.8,136,0.419,101,0.347,0.5,10.8,3.6,8.3,2.8,17.7,0.71,0.46,7.8
Michael Carter-Williams,Phi,PG,22,15,36.5,73.1,25,0.17,79,0.671,165,0.442,68,0.324,0.495,17.7,5.8,8.6,7.3,32.1,3.13,0.73,10
Omri Casspi,Hou,PF,25,25,21.2,43.7,18.8,0.146,49,0.735,98,0.5,74,0.378,0.563,8.7,3.9,10.3,1.4,10.5,0.92,0.36,6.8
Mario Chalmers,Mia,PG,27,23,26.7,55.6,17.3,0.214,47,0.745,78,0.449,78,0.41,0.569,8.7,2.5,5.9,4.7,25.8,1.83,0.3,7
Tyson Chandler,Nyk,C,31,5,28.4,55.8,12.1,0.217,11,0.727,24,0.625,0,0,0.659,7.6,9,18.9,1.2,6.7,1,2.6,6.1
Wilson Chandler,Den,SF,26,18,28.5,59.3,17.9,0.076,33,0.697,99,0.515,82,0.341,0.534,11.6,4.5,8.4,1.8,9.8,0.94,0.67,6.4
Josh Childress,Nor,SF,30,4,5.8,10.9,1.9,1,0,0,0,0,0,0,,0,0.8,7.3,0.5,10.9,0.25,0,0
Dionte Christmas,Pho,SF,27,13,7,14.5,15.6,0.094,4,0.75,14,0.429,13,0.308,0.469,2.1,1.3,10.6,0.1,1.6,0.15,0,3.7
Earl Clark,Cle,PF,26,21,16.9,34.8,16.8,0.119,10,0.5,61,0.41,53,0.434,0.524,5.9,3.1,10.2,0.3,3.2,0.52,0.38,4.2
Ian Clark,Uta,SG,22,8,8.4,17.1,21,0.128,3,0.333,15,0.4,11,0.273,0.403,2.8,0.9,5.9,0.6,12.4,0.13,0.13,5.5
Norris Cole,Mia,PG,25,25,24.3,50.5,16.3,0.196,18,0.778,114,0.491,46,0.391,0.536,7.2,2.7,7.1,3.4,20.5,0.8,0.16,6.7
Darren Collison,Lac,PG,26,27,17.3,35.9,21.3,0.152,62,0.839,120,0.442,42,0.357,0.536,7.5,2.3,7.4,1.8,16.6,0.81,0.26,7.3
Nick Collison,Okc,PF,33,23,17.1,35.2,11.7,0.208,29,0.724,64,0.547,7,0.143,0.561,4.1,3.5,11,0.9,7.5,0.39,0.52,5.5
Mike Conley,Mem,PG,26,23,33.8,69.7,24.6,0.107,79,0.835,241,0.531,93,0.344,0.567,18.2,2,3.6,6.2,33.6,1.26,0.26,7.2
Chris Copeland,Ind,SF,29,11,6.3,13.1,20.9,0.031,2,1,6,0.333,24,0.375,0.534,3,0.3,2.4,0.4,9.8,0.09,0.18,4.5
DeMarcus Cousins,Sac,C,23,23,30.9,63.9,34.5,0.147,187,0.743,384,0.497,4,0,0.554,22.7,10.8,20.1,3.2,21.2,1.78,1.04,11.9
Jamal Crawford,Lac,SG,33,27,28.1,58.4,26.6,0.121,101,0.832,204,0.475,150,0.347,0.545,16.1,2.4,4.7,2.6,15.8,0.78,0.15,6.6
Jordan Crawford,Bos,SG,25,27,30.2,62.9,22,0.139,84,0.869,196,0.48,107,0.355,0.552,13.9,3.3,6.2,5.5,30.4,0.93,0.07,8.4
Jae Crowder,Dal,SF,23,25,17.7,37,14.8,0.122,16,0.75,57,0.544,66,0.348,0.55,5.7,2.6,8.3,1,8.2,0.72,0.32,5.6
Dante Cunningham,Min,SF,26,26,19.8,41.1,13.6,0.06,8,0.5,152,0.454,2,0,0.451,5.5,4.2,11.4,1.2,8.9,0.85,0.69,6.1
Stephen Curry,Gol,PG,25,23,37.2,76.7,28.9,0.171,111,0.883,235,0.502,180,0.417,0.603,24.3,4.2,6.2,9,42.6,1.83,0.3,10.5
Samuel Dalembert,Dal,C,32,24,21.7,45.2,13.3,0.172,49,0.776,107,0.579,1,0,0.625,6.8,6.5,17,0.5,3.3,0.75,1.38,5.2
Luigi Datome,Det,SF,26,13,6.5,13.1,24.8,0.084,2,1,20,0.45,23,0.174,0.365,2.5,1.1,9.5,0.2,3.7,0.15,0.08,5
Brandon Davies,Phi,PF,22,23,12.1,24.6,12.9,0.189,22,0.682,56,0.357,3,0,0.4,2.4,2.2,9.9,0.7,8.4,0.52,0.17,5.1
Anthony Davis,Nor,C,20,17,33.3,67.6,24.2,0.077,98,0.827,243,0.502,0,0,0.568,19.1,10.3,17.4,1.5,7.6,1.71,3.35,8
Ed Davis,Mem,PF,24,19,16,32.9,19.1,0.119,31,0.548,97,0.536,0,0,0.547,6.4,3.9,14.4,0.5,5.7,0.21,0.84,5.8
Glen Davis,Orl,PF,28,15,30.9,63,22.2,0.115,42,0.667,179,0.453,3,0.667,0.489,13.1,6.6,12,1.7,9.8,1.33,0.6,6.8
Nando De Colo,San,SF,26,9,7.9,16.5,18.8,0.34,1,0,8,0.5,11,0.364,0.514,2.2,1.4,10.3,1.3,22.6,0.56,0,8
Matthew Dellavedova,Cle,SG,23,17,13.5,27.6,11.5,0.135,10,0.7,23,0.522,24,0.458,0.623,3.8,1.4,5.8,1.1,12.2,0.59,0,5.3
Luol Deng,Chi,SF,28,20,38.2,77.9,24.4,0.124,111,0.802,255,0.498,57,0.281,0.542,19.6,7,10.2,4.1,20.6,0.95,0.2,8.6
DeMar DeRozan,Tor,SG,24,23,38.2,78.2,26.8,0.097,144,0.806,327,0.465,85,0.318,0.527,21.8,3.9,5.9,3.1,15.3,1.13,0.52,6.7
Boris Diaw,San,PF,31,24,23.2,48.4,18.9,0.146,29,0.724,149,0.611,37,0.27,0.586,9.7,3.3,8,2,12.4,0.5,0.46,6.9
Gorgui Dieng,Min,C,24,14,6.2,12.8,17.2,0.252,13,0.385,21,0.429,0,0,0.43,1.6,2.2,19.1,0.5,11.8,0.29,0.86,7.8
Toney Douglas,Gol,PG,27,12,12.5,25.5,18.7,0.174,3,1,17,0.412,34,0.412,0.564,4.9,1.3,5.9,1.1,13.3,0.33,0,6.1
Goran Dragic,Pho,SG,27,21,35,72.6,23.8,0.138,125,0.784,207,0.527,75,0.373,0.593,19,2.9,4.7,6,28.3,1.1,0.24,7.9
Andre Drummond,Det,C,20,27,32.9,67.7,16.6,0.106,99,0.384,259,0.622,1,0,0.593,13.3,12.7,21.9,0.3,1.5,1.63,1.44,4.5
Jared Dudley,Lac,SF,28,27,29,60.2,14.1,0.113,24,0.708,105,0.533,104,0.365,0.553,9,2,3.9,1.7,8.7,0.63,0.11,4.3
Tim Duncan,San,C,37,23,28,58.3,25.3,0.125,88,0.773,273,0.465,2,0,0.513,14,9,18.3,3.1,16.9,0.48,1.74,10.4
Mike Dunleavy,Chi,SF,33,24,27.8,56.9,17.1,0.107,41,0.854,111,0.477,96,0.385,0.56,10.5,4,8.1,1.9,12.1,0.58,0.29,6.2
Kevin Durant,Okc,SF,25,24,37.9,78.3,30.3,0.128,240,0.879,345,0.51,101,0.406,0.622,28.6,8.2,11.6,4.8,22.5,1.54,0.96,11
Wayne Ellington,Dal,SG,26,16,8.5,17.6,17.5,0.038,5,0.8,28,0.429,21,0.286,0.449,2.9,0.7,4.6,0.4,7.6,0.38,0.13,4.4
Monta Ellis,Dal,PG,28,25,36.1,75.2,27,0.153,145,0.841,346,0.488,56,0.357,0.558,20.8,3.4,5.3,5.5,25.4,1.64,0.16,8.1
Jeremy Evans,Uta,SF,26,15,20.7,42.5,16.8,0.104,17,0.765,96,0.521,0,0,0.546,7.5,6.1,16.9,1.1,9,0.67,0.87,7.1
Reggie Evans,Bro,PF,33,18,12.9,26.5,12.5,0.305,28,0.571,31,0.355,0,0,0.439,2.1,4.6,20.8,0.1,1.3,0.17,0.11,3.1
Tyreke Evans,Nor,SF,24,22,24.5,50.2,25.3,0.146,89,0.798,203,0.438,22,0.091,0.483,11.6,4.7,10.7,3.7,24.3,1.23,0.36,9.6
Kenneth Faried,Den,PF,24,24,24.3,50.6,18.4,0.105,66,0.576,189,0.54,3,0,0.547,10.1,8.5,18.6,0.8,5.3,0.67,0.79,6.7
Jordan Farmar,Lal,PG,27,18,18.8,39.1,24.9,0.194,22,0.773,88,0.466,56,0.393,0.537,9.2,2.9,8.4,4.4,39.8,0.67,0.22,10.4
Vitor Faverani,Bos,C,25,27,14.5,30.3,19.2,0.199,33,0.606,85,0.494,33,0.333,0.517,5.1,4.1,16.2,0.5,5.3,0.33,0.93,6
Derrick Favors,Uta,PF,22,26,31.8,65.8,20.5,0.144,111,0.658,272,0.518,1,0,0.552,13.7,9.2,16.4,1.3,7.1,1.15,1.58,6.9
Raymond Felton,Nyk,PG,29,16,32.2,65.9,19,0.152,18,0.778,109,0.459,61,0.279,0.464,10.3,2.4,4.5,5.2,26.4,0.94,0.63,6.3
Landry Fields,Tor,SF,25,18,14.3,29.1,12.7,0.096,22,0.636,51,0.392,5,0,0.411,3,2.8,11.3,0.9,10,0.39,0.11,5.5
Derek Fisher,Okc,SG,39,23,13.5,27.9,11.9,0.129,16,0.938,33,0.485,34,0.206,0.459,3,1.2,4.9,1.1,11.5,0.65,0,4.7
Evan Fournier,Den,SG,21,21,11.9,24.8,18.6,0.13,17,0.588,55,0.382,31,0.355,0.455,4,1.4,6.1,0.8,10.2,0.1,0.14,5.5
Randy Foye,Den,SG,30,24,24.7,51.5,17.9,0.118,45,0.822,79,0.405,117,0.35,0.519,9.3,2.2,4.6,2.2,13.1,0.75,0.5,5.8
Jamaal Franklin,Mem,SG,22,11,9.6,19.6,14,0.157,2,1,19,0.368,7,0.429,0.465,2.3,1.6,10.1,0.4,5.8,0.36,0.09,4.7
Jimmer Fredette,Sac,SG,24,12,10.3,21.2,23,0.125,7,1,39,0.359,14,0.5,0.499,4.7,1.6,8.8,1.2,19.4,0.5,0,8.1
Joel Freeland,Por,C,26,26,14.7,30.5,12.5,0.227,16,0.875,76,0.474,2,0,0.506,3.3,3.6,13.4,0.9,8.6,0.23,0.58,6
Channing Frye,Pho,PF,30,24,27.1,56.2,17.1,0.105,22,0.818,103,0.534,110,0.436,0.611,11.3,5.2,10.9,0.9,5.4,0.88,0.79,5.5
Francisco Garcia,Hou,SF,32,25,20.3,41.8,15.7,0.099,10,0.7,50,0.5,109,0.349,0.523,6.8,2.6,7.1,1,7.9,0.64,0.88,5.1
Kevin Garnett,Bro,C,37,23,21.9,45.2,19.6,0.117,15,0.733,179,0.385,3,0,0.395,6.5,7.2,19.1,1.8,14.2,0.83,0.74,8
Diante Garrett,Uta,PG,25,19,14.6,30,15.8,0.258,4,1,52,0.385,18,0.389,0.453,3.4,1.1,4.3,2.6,27.8,0.79,0,5.8
